City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Castro,BR,2020-08-31 17:25:36,-24.79,-50.01,74.95,59,10,8.28
70,Tuktoyaktuk,CA,2020-08-31 17:25:36,69.45,-133.04,46.4,87,90,14.99
71,Pisco,PE,2020-08-31 17:25:36,-13.7,-76.22,66.2,68,0,9.17
72,Yellowknife,CA,2020-08-31 17:25:36,62.46,-114.35,48.2,61,75,9.17
73,Bendigo,AU,2020-08-31 17:24:03,-36.77,144.28,35.01,48,0,2.51
74,Vaini,TO,2020-08-31 17:25:37,-21.2,-175.2,75.2,94,90,10.29
75,Vardo,NO,2020-08-31 17:23:10,70.37,31.11,48.2,81,91,12.75
76,Qaanaaq,GL,2020-08-31 17:25:37,77.48,-69.36,34.75,78,0,2.93
77,Cabo San Lucas,MX,2020-08-31 17:23:58,22.89,-109.91,87.01,78,40,10.29
78,Saint-Philippe,RE,2020-08-31 17:23:10,-21.36,55.77,69.8,77,40,6.93
79,Hamilton,US,2020-08-31 17:22:43,39.18,-84.53,80.01,77,57,1.01
80,Khatanga,RU,2020-08-31 17:25:38,71.97,102.5,40.41,92,7,11.54
81,Praia Da Vitoria,PT,2020-08-31 17:25:38,38.73,-27.07,77.0,69,40,11.68
82,Sungurlu,TR,2020-08-31 17:25:38,40.17,34.37,78.69,16,0,6.17
83,Talnakh,RU,2020-08-31 17:24:57,69.49,88.4,44.6,100,90,4.47
84,Bushehr,IR,2020-08-31 17:25:38,28.97,50.84,93.2,59,0,4.7
85,Maumere,ID,2020-08-31 17:25:39,-8.62,122.21,77.38,74,22,4.72
86,Nandu,CN,2020-08-31 17:25:39,22.85,110.82,79.54,69,64,1.01
87,Kapaa,US,2020-08-31 17:23:30,22.08,-159.32,78.8,78,1,14.99
88,Letlhakane,BW,2020-08-31 17:25:39,-21.42,25.58,70.11,54,76,17.76
89,Hobart,AU,2020-08-31 17:22:39,-42.88,147.33,39.0,86,9,8.05
90,Bluff,NZ,2020-08-31 17:25:39,-46.6,168.33,42.13,69,86,14.43
91,Dumas,US,2020-08-31 17:25:40,35.87,-101.97,71.01,48,1,21.92
92,Aklavik,CA,2020-08-31 17:25:40,68.22,-135.01,46.4,81,75,9.17
93,Cherskiy,RU,2020-08-31 17:25:40,68.75,161.3,34.41,93,100,1.92
94,Hudiksvall,SE,2020-08-31 17:25:40,61.73,17.1,55.99,88,56,3.65
95,Huesca,ES,2020-08-31 17:25:41,42.14,-0.41,75.99,18,0,8.05
96,Sao Filipe,CV,2020-08-31 17:25:41,14.9,-24.5,77.25,78,77,10.22
97,Rio Grande,BR,2020-08-31 17:25:41,-32.03,-52.1,53.6,71,100,4.7
98,Lethem,GY,2020-08-31 17:25:41,3.38,-59.8,85.68,66,69,4.43
99,Kruisfontein,ZA,2020-08-31 17:23:26,-34.0,24.73,54.0,58,20,2.51
100,Bengkulu,ID,2020-08-31 17:25:42,-3.8,102.27,77.63,89,93,8.08
101,Kavieng,PG,2020-08-31 17:25:42,-2.57,150.8,82.69,78,37,9.1
102,Kismayo,SO,2020-08-31 17:25:42,-0.36,42.55,78.12,78,10,16.42
103,Loei,TH,2020-08-31 17:25:42,17.42,101.5,66.0,100,99,0.65
104,Klaksvik,FO,2020-08-31 17:25:42,62.23,-6.59,53.6,76,89,19.46
105,Nemuro,JP,2020-08-31 17:25:43,43.32,145.57,54.28,88,42,13.31
106,Nerchinskiy Zavod,RU,2020-08-31 17:25:43,51.31,119.61,51.28,95,92,1.81
107,Alice Springs,AU,2020-08-31 17:25:43,-23.7,133.88,50.0,46,0,5.84
108,Mogadishu,SO,2020-08-31 17:25:43,2.04,45.34,78.22,83,63,17.4
109,Dunedin,NZ,2020-08-31 17:24:52,-45.87,170.5,39.99,85,100,3.0
110,Jamestown,US,2020-08-31 17:22:03,42.1,-79.24,75.0,60,20,12.75
111,Nalut,LY,2020-08-31 17:25:44,30.33,10.85,102.04,8,0,9.44
112,Dikson,RU,2020-08-31 17:25:44,73.51,80.55,44.11,98,99,8.61
113,Shirwal,IN,2020-08-31 17:25:44,18.13,73.98,71.92,86,5,6.22
114,Pandan,PH,2020-08-31 17:25:44,14.05,124.17,81.21,82,88,8.05
115,Lavrentiya,RU,2020-08-31 17:25:44,65.58,-171.0,42.39,75,85,14.97
116,Hambantota,LK,2020-08-31 17:25:45,6.12,81.12,81.86,77,100,15.57
117,Russell,US,2020-08-31 17:25:45,32.35,-85.2,87.8,70,75,4.7
118,Mbuji-Mayi,CD,2020-08-31 17:25:45,-6.15,23.6,81.3,58,98,5.64
119,Kirgiz-Miyaki,RU,2020-08-31 17:25:45,53.63,54.8,62.64,70,0,2.21
120,Okha,RU,2020-08-31 17:25:46,53.57,142.95,54.9,74,100,16.58
121,Beringovskiy,RU,2020-08-31 17:25:46,63.05,179.32,45.99,79,100,16.8
122,Pevek,RU,2020-08-31 17:25:46,69.7,170.31,34.66,89,73,9.13
123,Kibala,TD,2020-08-31 17:25:46,9.11,18.35,73.4,94,40,3.04
124,Mehamn,NO,2020-08-31 17:25:46,71.04,27.85,46.4,65,94,10.29
125,Punta De Piedra,VE,2020-08-31 17:25:47,7.62,-71.49,84.65,69,100,3.27
126,Saint George,US,2020-08-31 17:21:37,37.1,-113.58,86.0,39,1,3.36
127,Hanzhong,CN,2020-08-31 17:25:47,33.07,107.03,66.97,82,0,1.36
128,Longyearbyen,SJ,2020-08-31 17:25:47,78.22,15.64,42.8,70,75,10.29
129,Purwokerto,ID,2020-08-31 17:25:47,-7.42,109.23,73.8,86,85,1.57
130,Saint-Francois,FR,2020-08-31 17:25:47,46.42,3.91,71.01,48,15,11.41
131,Alofi,NU,2020-08-31 17:25:48,-19.06,-169.92,75.2,83,75,10.29
132,Bonfim,BR,2020-08-31 17:25:48,3.08,-59.95,85.55,65,73,5.57
133,Chapais,CA,2020-08-31 17:25:48,49.78,-74.85,59.0,58,90,4.7
134,Banda Aceh,ID,2020-08-31 17:21:24,5.56,95.32,77.9,88,96,14.14
135,Yeppoon,AU,2020-08-31 17:25:48,-23.13,150.73,51.8,100,75,1.32
136,Porto Walter,BR,2020-08-31 17:25:49,-8.27,-72.74,86.74,51,100,2.35
137,Luderitz,NA,2020-08-31 17:25:37,-26.65,15.16,58.42,45,0,28.52
138,Kodiak,US,2020-08-31 17:23:57,57.79,-152.41,57.2,67,90,6.93
139,Yarada,IN,2020-08-31 17:25:49,17.65,83.27,82.4,100,75,3.36
140,Busselton,AU,2020-08-31 17:25:49,-33.65,115.33,53.01,98,84,19.26
141,Nauta,PE,2020-08-31 17:25:50,-4.51,-73.58,91.67,49,86,3.15
142,Barcelona,ES,2020-08-31 17:21:11,41.39,2.16,79.0,50,1,16.11
143,Norrtalje,SE,2020-08-31 17:25:50,59.76,18.7,57.0,82,69,4.0
144,Salinopolis,BR,2020-08-31 17:24:11,-0.61,-47.36,85.08,68,27,16.78
145,Nanortalik,GL,2020-08-31 17:25:50,60.14,-45.24,44.71,85,100,9.13
146,Troitskoye,RU,2020-08-31 17:25:50,52.98,84.68,60.55,72,3,2.15
147,Mudon,MM,2020-08-31 17:25:51,16.26,97.72,78.98,87,100,3.94
